question,answer,intent
The structure marked with arrow is:,Coronary artery,general_faq
Sec. 377 IPC deals with: AIIMS 09,Rape,general_faq
Which of the following is a prodrug ?,Lisinopril,medicine_info
Ewings sarcoma clinically mimics ?,Osteomyelitis,general_faq
"Fibroid with a typical ""Lantern on top of  St Paul's cathedral"" appearance is",Submucosal fibroid,general_faq
Cysticercosis cellulosae causes infection with,Taenia saginata,general_faq
Superantigens true is -,They bind to the left of the MHC,general_faq
A 40 year old female patient complains of excessive bleeding. Patient gives a history of road traffic accident 5 hours ago and had a lacerated wound on lower back region. Blood grouping test reveals presence of antigen A and antigen B. This system for blood grouping consists of 3 major allelic genes which are located on:,Chromosome 8,general_faq
Aortic sinus of Valsalva contributes to left ventricular outflow tract (LVOT) function by,Increasing aortic radius during ejection phase,general_faq
Complications of obesity is/are: 1. Venous ulcer 2. Pulmonary embolism 3. Pickwickian syndrome 4. Hernias 5. Pulmonary hypeension,"1,2,3 & 4",general_faq
One of the characteristic bedside features of Korsakoff's psychosis is-,Astereogenesis,nutrition_advice
In decoicate animal which reflex is lost?,Hopping and placing reflex,general_faq
"""Inflation of lungs induces fuher inflation"" this is explained by",Hering-Breuer inflation reflex,general_faq
"All are true about ischemia associated kidney injury, EXCEPT:",Healthy kidneys account for 10% of total oxygen consumption,general_faq
Which one of the following antibacterial antibiotics are not recommend for lactating mothers ?,Cephaslosporins,general_faq
"To induce vomiting at home in a child who has ingested a poison, the recommended agent of choice would be –",Oral rehydration solution,general_faq
True about nucleosome,Use only one type of histone protein,general_faq
Oxidative deamination is catalyzed by ?,Glutaminase,general_faq
"Prophylactic Chemotherapy is indicated after evacuation of H.Mole in all, Except:",Initial level of urine HCG is 40000 IU after 6 week of evacuation,treatment_procedure
Best way to evaluate discrepancy in articular disc of TMJ is:,Transpharyngeal projection,general_faq
The largest trematode infecting masn is -,F. Hepatica,general_faq
Sturge weber syndrome is associated with –a)  Port wine stainb)  Cavernous hemangiomac)  Lymphangiomad)  hemangiosarcoma,ab,general_faq
Which of the following cardiac valves is not commonly involved in rheumatic fever?,Mitral,general_faq
YAG laser is used in the treatment of:,Retinal detachment,nutrition_advice
Hallmark of breast malignancy on mammography?,Low density lesion,general_faq
All are true regarding coup injury except,Injury at the site of impact,general_faq
Advantage of coho study ?,Involves fewer number of subjects,general_faq
Hyponasal voice is seen in all except,Adenoids,general_faq
In a severe untreated case of tuberculous meningitis CSF shows,Increased sugar,nutrition_advice
Leutic glossitis is an intra-oral manifestation caused by,Mycobacterium tuberculosis,general_faq
Length of esophagus in adults is:,25 cm,general_faq
The recipient twin in monochorionic twin gestation effected by twin-twin transfusion syndrome is characterised by all except,Thrombosis,general_faq
Which cement base has the highest modulus of elasticity?,Zinc polycarboxylate,general_faq
"A 12-year-old boy reported with a class II and div 1 malocclusion with proclined upper incisor and deep bite. Intraoral examination revealed a bilaterally symmetrical face, convex profile, potentially competent Lips with normal incisor display during rest and smile. Cephalometric finding showed that the patient had a horizontal growth direction with CVMI stage III, increased overjet and normal lower incisor inclination

What would be the appliance of choice for this patient",Twin block,general_faq
All the following represent risk factors associated with pelvic inflammatory disease except,Recent new sexual paner,general_faq
Fluoxetine is a -,Noradrenaline uptake inhibitor,general_faq
Hand over mouth exercise (HOME) is an effective behavioral modification technique in the age group of:,3 to 6 years,general_faq
Human fibroblast cell line is used for cultivation of ?,Adenovirus,general_faq
Which of the following is not a feature of juvenile CML?,Thrombocytopenia,nutrition_advice
Digitalis does not increase which parameter of heart-,Force of contraction,general_faq
Finger print bureau was first established in the following country:,India,general_faq
Cardiac output is increased by all except,Exercise,general_faq
Vitamin K is ivolved in the posttranslational modification?,Glutamate,nutrition_advice
Pain sensations from the ethmoidal sinus are carried by-,Frontal Nerve,symptoms_diagnosis
Negative nitrogen balance is the characteristic feature of which phase of convalescence after surgery?,Catabolic phase,nutrition_advice
Alzheimer's disease is associated with: September 2012,Delerium,general_faq
Chloroquine is given as 600 mg loading dose because:,It is rapidly absoed,medicine_info
Antidepressant causing Tardive dyskinesia is ?,MAO inhibitors,general_faq
Retention of mature neutrophils in bone marrow is known as:,Myelokathesis.,general_faq
"An obese 50-year-old woman undergoes a laparoscopic cholecystectomy. In the recovery room she is found to be hypotensive and tachycardic. Her arterial blood gases reveal a pH of 7.29, partial pressure of oxygen of 60 kPa, and partial pressure of CO2 of 54 kPa. The most likely cause of this woman's problem is",Acute pulmonary embolism,general_faq
Which of the following is not a minor diagnostic criteria for multiple myeloma?,Lytic bone lesions,general_faq
Oral vancomycin can be used for treatment of ?,Hepatic encephalopathy,nutrition_advice
Optic tract is related to :,Olivary mucleus,general_faq
All of the following are true about Sibson's fascia except,Attached to cervical pleura,general_faq
Aplastic anaemia is common with,Chloramphenicol,general_faq
'Intermediate form' of Non Hodgkin's lymphoma is -,Small noncleaved cell,general_faq
The most common organism causing acute tonsillitis is:,Staph aureus,general_faq
An extracted tooth is discarded in which bag?,Yellow,general_faq
"The parietal peritoneum covering the inferior surface of the diaphragm transits its sensory information via the phrenic nerve. In the case of peritonitis in the parietal peritoneum on the inferior surface of the diaphragm, pain may be referred through which of the following nerves?",A,symptoms_diagnosis
Which can be used in pregnancy?,ACE inhibitors,general_faq
Post term pregnancy is the pregnancy which continues beyond: September 2006,274 days,general_faq
"A factory worker presents with excessive salivation, blue lines on gums, tremors, disturbed personality, insomnia, and loss of appetite. The most likely poisoning is -",Mercury,general_faq
What is TRUE about Lovastatin,Inhibits HMG CoA synthetase,general_faq
Blockade of nerve conduction by a local anaesthetic is characterized by -,Greater potential to block a resting nerve as compared to a stimulated nerve,general_faq
The Ames test is a method for detecting,Carcinogenesis in rodents,general_faq
"A pregnant woman with fibroid uterus develops acute pain in abdomen with low grade fever and mild leucocytosis at 28 weeks ,the most likely diagnosis is",Preterm labour,symptoms_diagnosis
Typhoid in first week of illness is best diagnosed by:-,Serum widal test,symptoms_diagnosis
Fluoride helps in,Vision,general_faq
Congenital syndrome associated with lymphoproliferative malignancy- a) Bloom syndrome   b) Fanconi's anemia  c) Turner syndrome  d) Chediak Higashi syndrome  e) Ataxia telangiectasia,ab,general_faq
"When patient is on isotretinoin therapy, monitoring of which of the following is done",Liver function test,treatment_procedure
Lymphadenopathy is seen is A/E,Syphlis 1st Stage,general_faq
Father’s blood group is ‘A’ & mother’s blood group is ‘AB'. Which of the following blood group is not possible in any of their children?,A,general_faq
The aerial supply of duodenum is / are derived from ?,celiac trunk and inferior mesenteric aery,general_faq
SACD (Subacute combined degeneration of cord) is feature of which vitamin deficiency?,Vitamin A,nutrition_advice
"Cervical cone biopsy in a case of carcinoma cervix causes all, except :",Bleeding,general_faq
Most common cause of facial nerve palsy:,Idiopathic Bell's palsy,general_faq
Which of the following features is not shared between 'T cells' and 'B cells' -,Positive Selection during Development,nutrition_advice
What is histological appearance of vaginal mucosa ?,Stratified squamous,general_faq
Which is the only nearly pure metal used for dental casting purposes?,Gold,general_faq
"An elderly patient with hypeension with diabetes, proteinuria without renal failure, antihypeensive of choice is-",Furosemide,general_faq
"A symmetric high-voltage, triphasic slow wave pattern is seen on EEG in the following",Hepatic encephalopathy,general_faq
Major hormone secreted by zona reticularis of adrenal coex ?,Glucocoicoids,general_faq
"Anomalies of oral cavity most commonly found in
which stage",Embryonic,general_faq
Common sites of bleeding -a) Woodruff plexusb) Brown areac) Littles aread) Vestibular area,a,general_faq
28 weeks pregnancy with abdominal pain and fever. Ultrasonographic examination shows presence of fibroid. What is the next line of management-,Hysterectomy,symptoms_diagnosis
Which is not primary amenorrhea?,Sheehan's syndrome,general_faq
Most common cause of neonatal meningitis-,Staphylococcus,general_faq
FALSE statement about Hallucinations,Perceived as not real,general_faq
Treatment of choice for genital was in pregnancy is:,Salicylic acid with lactic acid solution,nutrition_advice
The number of ATPs generated in krebs cycleare ?,12,general_faq
Which of the following is very difficult to induce antibody -,Polysaccharide,general_faq
Method used for acid fast staining -,Robertson's method,general_faq
A lady used to repeatedly wash her hands due to the fear of acquiring AIDS is due to,OCD,nutrition_advice
Dietary changes advocated by WHO for prevention of heart diseases included all of the following except -,Reduction in fat intake to 20-30 percent of caloric intake,nutrition_advice
Functions of basal ganglia include,Gross motor,general_faq
Structure forming medial boundary of femoral ring is:,Inguinal ligament,general_faq
"A 42-year-old man presents with long-standing abdominal pain after meals, which is relieved by over-the-counter antacids. The patient has lost 9 kg (20 lb) in the past year. Physical examination reveals peripheral edema and ascites. Laboratory studies show decreased serum albumin but normal serum levels of transaminases and gastrin. Gross and microscopic examination of this patient's stomach would most likely show which of the following pathologic changes?",Atrophic gastritis,symptoms_diagnosis
The intra-abdominal pressure during laparoscopy should be set between:-,5-8 mm of Hg,general_faq
Which of the following is not an accepted method of randomization-,Computer drawn randomization,general_faq
Which of the following opioid can be given intranasally?,Tramadol,general_faq
Post moem stiffening is called: March 2005,Putrefaction,general_faq
Anti U1 RNP is a feature of:,SLE,nutrition_advice
Acid fast organisms are -,Spores,general_faq
Which of the following amino acids can be phosphorylated?,Cysteine,general_faq
"All are seen in ARDS, except :",Pulmonary edema,general_faq
Niemann-Pick disease is due to deficiency of,Hexosaminidase,general_faq
Incubation period of gonorrhoea is -,Less than 24 hrs,general_faq
Which bacteria show this kind of growth pattern in Ghee broth,Yersinia Pestis,general_faq
Hara-kiri is death by,Stab in the neck,nutrition_advice
Organisms that have not been cultured successfully so far is?,Leptospira,general_faq
Most common type of optic nerve glioma is –,Gemistocytic,general_faq
The first step in the management of hirsutism due to stein leventhal syndrome is :,OCP,general_faq
Which of the following malignancy is MOST sensitive to radiotherapy?,Serous cystadenoma,treatment_procedure
Curschmann spirals are found in,Broncitis,general_faq
Transpo of drug through biological membrane is through ?,Passive diffusion,medicine_info
True statement about ductus Arteriosus is –,It undergoes anatomic closure within 24 hours of birth,general_faq
Not a cause of Roth spots?,Leukemia,general_faq
"A patient presented in emergency with tachycardia, hyperthermia, bronchial dilatation and constipation. The person is likely to be suffering from overdose of:",Atropine,medicine_info
Duration of treatment is multibacillary leprosy according to WHO is -,6 months,nutrition_advice
All are associated with EBV except -,Infectious mononucleosis,general_faq
Pneumatosis Intestinalis is associated with?,Necrotising Enterocolitis,general_faq
All of the following syndromes are seen with obesity except:,Prader - Willi syndrome,general_faq
The amount of water absorbed in the intestine in a day is :,5 lit.,general_faq
"A 16-year-old boy suffering from drug abuse presents with cross-over of sensory perceptions, such that, sounds can be seen and colors can be heard. Which of the following is the most likely agents responsible for drug abuse:",Cocaine,medicine_info
Incubation period of Mumps -,4-5 days,general_faq
"All passes through lesser sciatic foramen, except?",Inferior gluteal vessels,general_faq
All of the following are characteristic of Datura poisoning except -,Delirium,general_faq
Fallen fragment sign is a feature of ?,Simple bone cyst,nutrition_advice
The medicolegal importance of postmortem lividity is all except -,Cause of death elsewhere,general_faq
"The most commonly employed method for superficial, minimally invasive nodular Basal cell carcinoma (BCC)?",Topical 5-fluorouracil,general_faq
Osteoporosis is seen in all the following except-,Thyrotoxicosis,general_faq
Sterile vegetations are seen in all except,SLE,general_faq
Which is not echogenic while doing ultrasonography-,Bile,general_faq
Calcaneum is associated most commonly with which # -,# rib,general_faq
Longest and thinnest extrocular muscle -,SR,general_faq
Mr.X fired his gun at Mr.Y who moved and escaped with the bullet only grazing his arm. There was only a little bleeding and no other significant injury. Mr. X is liable for arrest under which section of IPC?,302,general_faq
Diplopia is usually seen in ?,Paralytic squint,general_faq
The following are adverse effects of SSRIs except,Weight changes,general_faq
The most common site of metastasis in neuroblastoma?,Lung,general_faq
Fluroacetate inhibits -,Citrate synthetase,general_faq
"A two-year-old child presents with persistent diarrhea, acidic stools and presence of one percent of reducing substance in the fresh stools. What is the most probable diagnosis?",Cystic fibrosis,general_faq
In emergency tracheostomy following structures are damaged except:,Isthmus of thyroid,general_faq
Not a sign of blunt trauma?,Sphincter tear,general_faq
All of _the following may be seen in patient of cardiac tamponade exceptAll of _the following may be seen in patient of cardiac tamponade except-,Kussmaul's sign,general_faq
All of the following statement regarding ewings sarcoma are true except?,Common location is diaphysis of long bones,general_faq
All are subjective tests for audiometry except:,Tone decay,general_faq
Most common site of histiocytosis is -,Bone,general_faq
An 18-year-old presents with a well- circumscribed 2 cm mass in her right breast. The mass is painless and has a rubbery consistency and discrete borders. It appears to move freely through the breast tissue. What is the likeliest diagnosis?,Carcinoma,symptoms_diagnosis
Which of the following is common with Streptococcus infection?,Cellulitis,general_faq
"In PCR, DNA polymerase is used in",DNA replication,general_faq
Amyloidosis of hea presents with -,Arrhythmia,general_faq
Most common site of primary carcinoma in a case of Krukenberg tumor is:,Gallbladder,general_faq
Most common paroxysmal symptom of pheochromocytoma:,Headache,symptoms_diagnosis
HPV vaccine is ?,Monovalent,general_faq
N-myc gene amplification is seen in which of the following tumors?,Burkitt's lymphoma,general_faq
All are impoant mechanisms in the formation of lithogenic bile:,Increased biliary secretion of cholesterol,general_faq
Burst EEG pattern is seen in?,Herpes simplex encephalitis,general_faq
The prognosis of rhabdomyosarcoma is likely to be poor if the site of the tumour is:,Orbit,general_faq
"About retinitis pigmentosa all are true, EXCEPT:",Night blindness,general_faq
Argon laser trabeculoplasty is done in:,Angle closure glaucoma,general_faq
Following are the features of persistent post operative pain except?,Pain that develops after surgical procedure,nutrition_advice
Sequestration lung is best diagnosed by-,CT. scan,symptoms_diagnosis
Immersion syndrome occurs due to ?,Vagal inhibition,general_faq
Which cancer is most commonly associated with increased estrogen levels?,Cervix,general_faq
The following affect enzyme activity except,Methylation,general_faq
A 60 yrs old male comes to casualty with acute retention of urine since 12 hrs. On examination there was distended bladder. His wife gives a history of taking some drug by the patient since 2 days as he is suffering from depression. The most likely drug is:,CPZ,medicine_info
The only one flexible minor connector is,that connecting clasp assembly to major connector,general_faq
Botulism is a disease of ?,Neural transmission caused by the toxin of the bacterium clostridium botulinum,general_faq
Injury caused to the pedestrian in a vehicular accident due to his/her striking onto the object on road is known as -,Primary injury,general_faq
Which of the following ovarian tumor is most prone to undergo torsion during pregnancy?,Serous cystadenoma,general_faq
Best anaesthetic agent for out patient anasthesia is,Fentanyl,general_faq
Notochord develops from -,Epiblast cells,general_faq
Tonsillectomy is indicated in -,Acute tonsillitis,general_faq
The following marker is used to assess the monoclonality in T-cells -,Kappa and Lambda chain,general_faq
Depolarizing muscle relaxant –,Scoline,general_faq
"Granuloma is pathological feature of all of the following types of vasculitis, EXCEPT:",Giant cell aeritis,nutrition_advice
Which of the following is an anticoagulant drug ?,Heparin,medicine_info
"All of the following methods are anti-larval measures, EXCEPT:",Intermittent irrigation,general_faq
Which of the following pigments accumulates in liver in Dubin-Johnson syndrome?,Monoglucuronate bilirubin,general_faq
Lancinating pain around the tonsils during eating is indicative of,Trigeminal neuralgia,nutrition_advice
in census literacy rate is assessed by:,Attended literacy classes for one year,general_faq
"A 65 year old white male in previously good health sta to notice blood in his urine. He develops pain with urination. He also thinks that the stream of his urine is weakened. He goes to his family doctor because of his symptoms. Laboratory findings show an anemia. His urinalysis is positive for red cells, white cells and gram negative rods are seen. A cystogram is done and shows a tumor. A transurethral biopsy is done and confirms a malignant bladder tumor. Which of the following is true of this patient's tumor?",It is likely to be an adenocarcinoma,symptoms_diagnosis
The predominant isozyme of LDH in cardiac muscle is,LD-1,general_faq
Factors which decrease the cement space for a complete crown would be,Thermal and polymerization shrinkage of the impression material,general_faq
"All of the following statement about Renal Calculi are true, Except:",Cystine stones form in acidic urine,general_faq
Demography deals with all except-,Mortality,general_faq
Ejection fraction is about,25%,general_faq
An anterolaternal corodotomy relieving pain in right leg is effective because it interrupts the,Left dorsal column,symptoms_diagnosis
Which of the following is not true regarding wilson's disease,ATP7B mutation leading to impairment in copper metabolism,general_faq
Which among the following is the best method to assess intake of fluid in poly trauma patient:,Urine output,general_faq
All are true about aspirin poisoning except,Acidosis,general_faq
All are sphincters of lower genito urinary tract of female except,Pubovaginalis,general_faq
The closest speaking space was suggested by:,Pound,general_faq
Mittelschimerz pain is -,Pain during onset of menstrual cycle,symptoms_diagnosis
Most common viral cause of Fulminant hepatic failure in pregnancy?,HAV,general_faq
Ketamine is a,Short general anesthetic agent,general_faq
Most commonly associated Fungus with orbital cellulitis in patients with Diabetic Ketoacidosis is,Candida,general_faq
"A 3-year-old child reports with fever. He has reddish
yellow ulcers of the facial mucosa and tongue. He is most
probably suffering from:",Erosive lichen planus,general_faq
Extremely low birth weight -,<1000,general_faq
"All of the following structures are at risk of damage in anterior cranial fossa fracture, EXCEPT?",Ethmoid sinus,general_faq
Antihelminthic also acting as immunomodulator is :,Albendazole,general_faq
All of the following murmurs may be heard in patients with aoic regurgitation except :,High-pitched decrescendo diastolic murmur.,general_faq
"Bird of Prey"" sign is seen in the radiographic barium examination of:",Gastric volvulus,general_faq
Which animal is used to test pathogenicity in Cryptococcus neoformans?,Mice,general_faq
Squamous cell carcinoma spreads commonly ?,Implantation,general_faq
A child comes with cyanotic spells and chest X-ray was as shown below; What is the most probable diagnosis?,Tetralogy of Fallot,general_faq
Which laser is used in the management of after cataracts -,Argon,general_faq
Adam's apple seen in boys is because of:,Hyoid bone,general_faq
26 year old man died while playing. His autopsy of the heart revealed myocyte hypertrophy. Diagnosis is -,HOCM,general_faq
Knee with leg x- ray of an adolescent boy is shown. Probable diagnosis:,Chondromyxoid fibroma,general_faq
Blood agar is,Enrichment media,general_faq
"Which among the following drug is not used in the
treatment of Tetralogy of Fallot?",β blocker,medicine_info
Dates are rich source of -,Calcium,general_faq
"A patient with recent onset primary generalized epilepsy, develops drug reaction and skin rash and neutropenia due to phenytoin sodium. The most appropriate course of action is:",Shift to sodium valproate,medicine_info
Contraception with increased risk of actinomycosis -,OCPs,general_faq
Metachromatic granules are stained by?,Ponder's stain,general_faq
In a patient with a type of familial dyslipidemias he presented with palmar Xanthomas and he ias at increased risk of atherosclerosis and CAD.In Lipid profile there was elevation of triacylglycerols and cholesterol.And the IDL and chylomicrons were elevated.What is the pathophysiology of the condition?,LDL deficiency,general_faq
Which of the following drugs is used for narcoanalysis -,Atropine,medicine_info
One of the following is a sure sign of rape :,Ruptured hymen in a girl aged 20 years,general_faq
Tardy ulnar nerve palsy occur as a delayed sequele of,Supracondylar fracture of humerus,general_faq
Two or more oligoclonal bands in cerebrospinal fluid are most often positive in-,Acute bacterial meningitis,general_faq
Cavernous hemangioma is characterized by:,Reticulated popcorn like configuration,general_faq
Which of the following is false about Takotsubo Cardiomyopathy,Due to major catecholamine discharge,general_faq
Ductus arteriosus closes in response to:,Decrease in peripheral oxygen saturation,general_faq
Sulfasalazine exes its primary action in ulcerative colitis by :,Folic acid synthesis,general_faq
Mrs A is hesitant about having children because her two sisters had sons who had died from kinky hair disease. Her mother's brother also died of the same condition. What is the mode of inheritance of kinky hair disease which is running in this family?,X-linked recessive,general_faq
"In formocresol, ratio of formalin to cresol:",3:02,general_faq
Which of the following is the ego-expansion of JSY?,Janani Sampoorna Yojana,general_faq
DNA fingerprinting is based on possessing in DNA of -,Constant Tandem Repeat,general_faq
Refsum's syndrome is associated with ?,Retinitis pigmentosa,general_faq
"A 30 year old G1P1001 patient comes to see you In office at 37 weeks gestational age for her routine OB visit. Her 1st pregnancy resulted in a vaginal delivery of a 9-lb, 8-02 baby boy after 30 minutes of pushing. On doing Leopold maneuvers during this office visit codetermine ttwt the fetus is breech. Vaginal exam demonstrate that the cervix is 50% effaced and 1-2 cm dilated. The presenting breech is high out of pelvis. The estimated fetal weight, is about 7 lb. yn the patient- for a USG, which confirms a fetus frank breech prestation. There is a normal am &; amniotic fluid present, and the head is well-felt the patient&;s obstetrician, you offer all the following possible mgmt plans except",Allow the patient to undergo a vaginal breech delivery whenever she goes into labor,general_faq
Drug used in alzheimer's disease are all EXCEPT:,Biperidin,medicine_info
Anchovy sauce pus is a feature of ?,Amebic liver abscess,nutrition_advice
A patient is suspected to have vestibular schwanomma. The investigation of choice for its diagnosis is,Gadolinum enhanced MRI,general_faq
Mantoux test reading of less than 5mm indicates,Tuberculosis infection,general_faq
Gene involved in Cowden syndrome is,P53,general_faq
Most common site of gall stone impactation is -,Duedenojejunal junction,general_faq
Right atrial isomerization syndrome is associated with all of the following except:,Spleen is absent,general_faq
An adult presented with hematemesis and upper abdominal pain. Endoscopy revealed a growth at the pyloric antrum of the stomach. CT scan showed growth involving the pyloric antrum without infiltration or invasion into surrounding structures and no evidence of distant metastasis. At laparotomy neoplastic growth was observed to involve the posterior wall of the stomach and the pancreas extending 6cm up to the tail of the pancreas. What will be the most appropriate surgical management,Closure of the abdomen,symptoms_diagnosis
"Which of the following is not produced by hepatocytes:September 2006, September 2012",Gamma globulin,general_faq
"A 30 year old farmer presents with the features of high fever, painful inguinal lymphadenopathy, vomiting and diarrhoea with hypotension. Which of the following stain will be helpful in making the diagnosis?",Wayson's stain,nutrition_advice
A 25 year old person sustained injury in right eye. He developed right comeal opacity following the injury. Left eye was already having poor vision. Corneoplasty of right eye was done and vision was restored. Medicolegally such injury is labelled as :,Grievous,general_faq
Bacteria causing acute hemorrhagic conjunctivitis is,Staphylococcus aureus,general_faq
Most common causative organism for bacterial meningitis beyond 3 years of age is -,Pneumococcus,general_faq
"All of the following are Glycoproteinoses, EXCEPT",Fucosidosis,general_faq
Vaccine routinely given in pregnancy :,Influenza,general_faq
"Causing hu by means of poison, etc with an intent to commit an offence is punishable under",Sec. 328 IPC,general_faq
"Sudden death, right sided hea failure (cor pulmonale or cardiovascular collapse occur when ?",Small pulmonary embolism,nutrition_advice
"A patient with a recent history of convulsions, presented to emergency in subconscious state with blood pressure 60/90 mm/Hg, bradycardia & slow gasping respiration. There is increased lacrimation, salivation & sweating. On examination there is pin point pupil. Which of the following poisoning should be suspected?",Opioids,nutrition_advice
WHO defi nes adolescent age between -,10-19 years,general_faq
Which of the following does not changes in the old age:,GFR,general_faq
Most common site of Actinomycosis among the following,Rib,general_faq
pH of vagina in pregnancy is -,4.5,general_faq
Fetal lung maturity is assessed by all of the following except: September 2007,Lecithin:sphingomyelinn ratio,general_faq
Lobar pneumonia is caused predominantly by:,Klebsiella pneumoniae,general_faq
Priapism is seen in,Rat poisoning,general_faq
Complication of Rheumatoid arthritis of condyle is,Fibrous ankylosis,general_faq
Barr body is absent in female having,46 XX genome,general_faq
False about Gastric lymphoma is:,Stomach is the most common site,general_faq
Treatment of choice of desmoids tumour is:,Surgery,nutrition_advice
In a patient if administration of exogeneus vasopressin does not increase the osmolality of urine the likely cause is,SIADH,general_faq
Which of the following can be found in ocular muscles?,Trichinella,general_faq
Hydatid disease of liver is caused by -a) Strongloidesb) Echinococcus granulosusc) Taenia soliumd) Trichinella spiralise) Echinococcus multilocularis,ab,general_faq
"An eight-month-old female infant presented with recurrent episodes of hypoglycemia, especially if time interval of feeding is increased. Dicarboxylic acid is present in the urine. Urine ketone bodies is negative. The child responded well to IV Glucose, less fat and more carbohydrate diet, frequent feeding. The child was diagnosed to be MCAD deficiency. What is the reason for hypoglycemia?",Increased dicarboxylic acid inhibit glycogenolysis,nutrition_advice
Thomas splint most troubling is:,Ring,general_faq
Focal lesion in liver is best detected by,MRI,general_faq
The muscle of hand that contains a sesamoid bone is,Flexor pollicis brevis,general_faq
Placental abnormality related to PPH is?,Placenta accreta,general_faq
Root value of intercostobrachial nerve is,T1,general_faq
Which of the following disease can be associated with sho QT interval on ECG ?,Chronic myeloid leukemia,general_faq
Long acting insulin is?,Insulin glargine,general_faq
Therapeutic aboion was accepted by,Declaration of Genava (1948),general_faq
"A 7 year old boy presented with generalized edema. Urine examination revealed marked albuminuria. Serum biochemical examinations showed hypoalbuminaemia with hyperlipidemia. Kidney biopsy was undeaken. On light microscopic examination, the kidney appeared normal. Electron microscopic examination is most likely to reveal-",Fusion of foot processes of yhe glomerular epithelial cells,general_faq
The following is a marker of acute hepatitis B infection-,DNA polymerase,general_faq
Deficiency of cortisol causes:,Cushing syndrome,general_faq
The most important action of Secretin is to,neutralize the acid from the stomach,general_faq
Which of the following immunoglobulins shows homocytotropism -,IgG,general_faq
What could be the possible diagnosis as per the given X-ray?,Osgood schattler disease,general_faq
"The product, which is obtained by calcining gypsum under steam pressure at 120-130°C or by dehydrating gypsum in the presence of sodium succinate, is",Alpha - hemihydrates,general_faq
"In rheumatic heart disease, infective endocarditis is detected by echocardiogram and the largest vegetations seen are due to-",Streptococcus viridans,general_faq
Which of the following agents is likely to cause cerebral calcification and hydrocephalus in a newborn whose mother has history of taking spiramycin but was not compliant with therapy?,Rubella,treatment_procedure
Which test helps to differentiate between concomitant squint and paralytic squint,Cover - uncover test,general_faq
"A CKD patient had to undergo dialysis. His Hb was 5.2gm% so two blood transfusions were to be given. First bag was completed in 2 hours. Second was staed and midway he developed shoness of breath, hypeension. Vitals: BP 180/120 mm Hg and pulse rate 110/min. What is the cause?",Allergic,nutrition_advice
Risk factors for gonococcal infection is all except,Age > 25 year,general_faq
The most common type of intussusception?,Ileocolic,general_faq
Vaginal wall is derived from ?,Endoderm,general_faq
The following statements regarding insulin resistance in diabetic patients are true except:,It is more common with huminsulin,general_faq
Folic acid metabolism is inhibited by :  a) Sulfonamides b) Methotrexate c) Nitrous oxide d) Trimethoprim e) 5–Flucytosine,acd,general_faq
Earliest detection of pregnancy by ultrasound is by:,Gestation sac,general_faq
True about congenital adrenal hyperplasia is all except,Autosomal recessive disorder.,general_faq
Puetz-Jegher syndrome is characterised by,Deafness,general_faq
Length of ureter is:,15 cm,general_faq
Epidemiological Web of Causation theory was given by,Louis Pasteur,general_faq
Aery of anatomical snuffbox?,Radial,general_faq
all are true about s1 except,lower frequency than s2,general_faq
Which is not an intracanal medicament :,Calcium hydroxide.,general_faq
Balloon valvotomy is successful in all of the following cases except –,Congenital pulmonary stenosis,general_faq
Hemoglobin is present in :,Hydrophilic pockets,general_faq
The term 'myopia' refers to:,Near sightedness,general_faq
"A neonate within 4 hours of bih presented with severe respiratory distress. He appears to be dyspneic, tachypneic, and cyanotic with severe retractions of the chest. On examination, grunting is present along with use of the accessory muscles. Neonate also appears to have scaphoid abdomen and increased chest wall diameter. There is evidence of shift of the point of maximal cardiac impulse from its original location to the right side. Chest x ray of the neonate Defect in development of which pa of the responsible structure is causing this condition of the baby?",PA C,general_faq
Neurotransmitter in striatal pathway is?,Glutamine,general_faq
Which of the following techniques use piezoelectric crystals -,Ultrasonography,general_faq
OCP protects against all EXCEPT: September2012,Hepatic adenoma,general_faq
According to Hellin's law chances of twins in pregnancy are:,1 in 60,general_faq
Most common abdominal mass in children:,Hydronephrosis,general_faq
CAGE questionnaire is used in:AP 07; MP 09; NEET 13,Alcohol dependence,general_faq
"At the altitude of 6500 meters, the atmospheric pressure is 347 mmHg. What is the inspired PO2.",73 mm Hg,general_faq
All are true about scleroderma crisis except?,Accelerated hypeension,general_faq
"About lidocaine, all are true except :",LA effect,general_faq
Antiboiotic Prophylaxis for infective endocarditis is indicated in:,Isolated secundum ASD,general_faq
Birbeck’s granules in the cytoplasm are seen in:,Langerhans cells,general_faq
True about dermoid cyst,Lined by columnar epithelium,general_faq
One gram of smokeless gunpowder produces: Karnataka 11,3000-4000 cc of gas,general_faq
All of the following are true about Ondansetron except?,Drug of choice for chemotherapy induced vomiting,general_faq
"The mesentery of small intestine, along its attachment to the posterior abdominal wall, crosses all of the following structures except:",Left gonadal vessels,general_faq
Release of histamine and leukotrienes from mast cells is prevented by:,Zileuton,general_faq
The process of destroying all microbes including spores is called :,Disinfection,general_faq
Investigation of choice for diagnosis and staging of renal cell carcinoma,USG,general_faq
True about primary aldosteronism,Pedal oedema,general_faq
Which of the following is a suicidal enzyme,Cyclooxygenase,general_faq
Community health centres covering a population of -,"40-60,000",general_faq
All are transmitted by blood except-,Parvovirus B-19,general_faq
The normal range of total serum bilirubin is:,0.2-1.2 mg/100 ml,general_faq
