question,answer,intent
True about Acrodermatitis enteropathica is?,Lifelong treatment required,general_faq
Most common metabolite of progesterone excreted in urine is _________,Pregnanelone,general_faq
A 50 years old man was recently diagnosed to be having coronary artery disease. There was no added risk factors except for a LDL value of 150-165mgs/dl. The single drug most appropriate for initial therapy is,Gemfibrozil,medicine_info
Which of the folloss mg features is not shared between `T cells' and 'II cells',Positive selection during development,nutrition_advice
"A 10 year old boy has a fracture of femur. biochemical evaluation revealed Hb 11.5 gm/dl and ESR 18 mm 1st hour. Serum calcium 12.8 mg/dL, serum phosphorus 2.3 mg/dL, alkaline phosphate 28 KA units and blood urea 32 mg/dl. Which of the following is the most probable diagnosis in his case –",Nutritional ricicets,general_faq
Receptors on cell membrane that activate ion channel after binding with agonists are,Nicotonic Cholinergic,general_faq
Causative agent for the following lesion on Penis:,Treponema pallidum,general_faq
Muscle relaxant excreted exclusively by kidney is:,Scoline,general_faq
Inventor of orthopantomographic machine is:,Hounsfield,general_faq
Soiling index is measure for -,Air pollution,general_faq
Which among the following doesn't enter human body skin?,Ancyclostoma,general_faq
"All of the following are TRUE about the middle ear, EXCEPT:",The joints between ossicles are synol,general_faq
"All of the following malignancies present with osteoblastic secondaries, except",Multiple myeloma,general_faq
Which if the following is the ‘Yellow fever’ reference centre?,"Haffkin’s institute, Mumbai",general_faq
Structure passing through the greater sciatic foramen are all of the following except `,Pyriformis,nutrition_advice
Which is the immediate danger to a patient with severe facial injuries,Bleeding,general_faq
"A young 8 years old boy with multiple, small, pin point, shiny, papular lesions on dorsal aspect of hand, forearms and his penis also. Diagnosis is:",Molluscum cantagiosum,general_faq
Desmoplaskin is the target antigen in:,Pemphigus vulgaris.,general_faq
Highest slope of stress v/s strain curve seen in:,Ceramic,general_faq
The predominant isozyme of LDH in cardiac muscle is,LD-1,general_faq
What is the strength of shock given to below victim of cardiac arrest with shockable rhythm:,200 J asynchronous Shock,general_faq
Unsaturated fatty acids are converted to:,Prostaglandins,general_faq
"""3 by 5"" initiative in AIDS control programme is ?",Providing 3 million people treatment by end of 2005,general_faq
Which of the following congenital malformation is seen in a child of a mother who is on treatment with oral anticoagulants -,Craniofacial malformations,nutrition_advice
All of the following are advantages of LMA Except,More reliable than face mask,general_faq
Which one of the following is an absolute contraindication to the use of thrombolytic agent in the setting of an acute anterior wall myocardial infarction-,History of CVA with hemiparesis one month ago,general_faq
Calcaneum is associated most commonly with which # -,# rib,general_faq
"A farmer presented with a black mole on the check. It increased in size, more than 6mm with sharply defined borders with central black lesion, what could be the diagnosis?",Acral lentigo melanoma,general_faq
Which of the following types of pancreatitis has the best prognosis,Alcoholic pancreatitis,nutrition_advice
Which method is used to locate a known gene locus?,FISH,general_faq
Most common nosocomial infection is,Respiratory tract infection,general_faq
A child is posted for operative repair of exostrophy of bladder with renal failure. Which anesthetic should be preferred?,Pancuronium,general_faq
Which of the following is the best predictor for future risk of cardiovascular events?,hs CRP,general_faq
Enzyme use in ELISA -,Alkaline phosphatase,general_faq
Which of the following structures is not at immediate risk of erosion by cholesteatoma?,Long process of incus,nutrition_advice
High-risk breast cancer female investigation of choice is?,MRI,general_faq
Radiosensitisers are all Except,Metronidazole,general_faq
Open reduction is indicated in,clavicle,general_faq
A neonate delivered at 38 weeks of gestation with a bih weight of 2.2 kg develops intolerance to feed /abdominal distension on second day. Physical examination is unremarkable. Sepsis screen is negative. PCV is observed to be 72%. Which of the following represents the best management option?,Hydration with IV Fluids,general_faq
"22-year-old lady, with a history of epilepsy is undergoing the pre-anaesthetic review. The use of which inhalational agent is contraindicated in this patient?",Halothane,general_faq
Commonest side effect of cryotherapy for carcinoma cervix in situ :,Hemorrhage,treatment_procedure
Most commonly associated Fungus with orbital cellulitis in patients with Diabetic Ketoacidosis is,Candida,general_faq
"All of the following are ocular symptom seen in Herpes ophthalmicus, EXCEPT:",Oculomotor nerve involvement,symptoms_diagnosis
True about pilocytic astrocytoma all except aEUR',Long survival,general_faq
Radiofemoral delay is characteristic of ____________,Patent ductus aeriosis,general_faq
Dried semen stains on clothes identified by -,Spectrometry,general_faq
Superior quadrantanopia is seen in lesion of:,Parietal lobe,general_faq
Drug of choice for reversal of is neuromuscular blockade by vacuronium-,Edrophonium,medicine_info
"A 23-year-old woman has noticed that she develops a skin rash if she spends prolonged periods outdoors. She has a malar skin rash on physical examination. Laboratory studies include a positive ANA test result with a titer of 1 :1024 and a ""rim"" pattern. An anti-double-stranded DNA test result also is positive. The hemoglobin concentration is 12.1 g/dL, hematocrit is 35.5%, MCV is 89 mm3, platelet count is 109,000/mm3, and WBC count is 4500/mm3. Which of the following findings is most likely to be shown by a WBC differential count?",Basophilia,general_faq
Basal Metabolic Rate depends most closely on:,Lean body mass,general_faq
Teratozoospermia refers to?,Absence of semen,general_faq
Tamoxifene -,SSRI,general_faq
A myocardial infarct specimen is showing early granulation tissue. According to this change when has the infarct occurred?,Less than 1 hour,general_faq
A man came to the casualty with some skin lesions after exposure to the sun. He is allergic to sunlight. Solar uicaria is characterized by:,Stinging,general_faq
A double aoic arch is due to persistent ?,Right 4th arch,general_faq
"""Intranuclear inclusions"" in oligodendrocytes are seen in",Creutzfeldt Jacob disease,general_faq
PSGN (post-streptococcal GN) associated with -,Subepithelial deposits,general_faq
Essential atrophy of the choroid is due to inborn error of metabolism of which amino acid?,Cystine,general_faq
"A 9-year-old girl is diagnosed with acute rheumatic fever. Instead of recovering as expected, her condition worsens and she dies. Which of the following is the most likely cause of death?",Central nervous system involvement,nutrition_advice
"Minimal change glomerulopathy may be seen ' association with all of the following except,",Hepatitis B,general_faq
Reactive ahritis is usually caused by:,Shigella flexneri,general_faq
Puerperal sepsis is due to spread of Infection along which route :,Direct extension,general_faq
Total body water constitute what percentage of Body Weight,80%,general_faq
Which of the following characterizes mallampati class 3,Only hard palate visible,general_faq
Functions of limbic system :,Emotion,general_faq
Variconazole is not effective against-,Aspergillosis,general_faq
The third heart sound is due to:,Closure of AV valve,general_faq
"All of the following are branches of cerebral pa of the internal carotid aery, EXCEPT:",Ophthalmic aery,general_faq
Fundoscopic features of papilledema include all the following except -,Ill- defined disc margin,medicine_info
"All of the following statements are true regarding poliovirus, except:",It is transmitted by feco-oral route,general_faq
Consider the following disorder- Sydenham's chorea Migraine Mania Obsessive compulsive disorder Valproic acid is used in ehich of the above disorders?,1 and 3 only,general_faq
The fibers from the contralateral nasal hemiretina project to the following layers of the lateral geniculate nucleus,"Layers 2,3 & 5.",general_faq
Delta waves are seen in:,Deep sleep,general_faq
Eyelid drooping in/are seen in:,Damage to edinger-westphal nucleus,general_faq
Van Nuys prognostic indicator for DCIS does not include which of the following parameter?,DCIS size,general_faq
"Wernicke's encephalopathy, during refeeding syndrome, can be precipitated in deficiency of which of the following vitamin: September 2011",Riboflavin,nutrition_advice
Condition that can be diagnosed on laparoscopy?,Endometriosis,symptoms_diagnosis
The Point of distinction between paial mole to complete mole is,Paial mole show trophoblastic proliferation with absent villi,general_faq
The late features of kernicterus include all except,Hypotonia,nutrition_advice
Drug of choice for gonococcal as well as non gonococcal urethritis is,Clindamycin,medicine_info
Hardy Weinberg law indicates all except:,States that genotype frequencies in a population remain constant or are in equilibrium from generation to generation unless specific disturbing influences are introduced,general_faq
River blindness is caused by :,Drinking river water without boiling.,general_faq
All are indications for stopping effending ATT drug permanently except,Gout,medicine_info
True regarding 10-0 sutures is/are?,Thicker than 1-0 sutures,general_faq
For Ca Anal canal t/t of choice is -,Surgery,general_faq
All are involved in iron metabolism except:,Hepcidin,general_faq
All are a type of audio-visual aids except,Television,general_faq
All are true regarding satellite DNA EXCEPT?,Repeated DNA sequences in tandem,general_faq
What happens to corneal endothelium after injury?,Slowly regenerates,general_faq
Drug not causing exanthematous skin eruption,Phenytoin,medicine_info
Fulminant Amoebic meningoencephalitis caused by-,Acanthamoeba,general_faq
Cochlear function in fetus develops between,12 to 15 weeks,general_faq
Which of the following is not one of the phases of Implantation of Embryo?,Epithelialization,general_faq
Which is false about pulmonary embolism?,Chest pain is most common symptom,general_faq
Dysmorphic RBC with ARF is seen in?,Glomerular disease,general_faq
Cadaveric spasm develops,Less than 2 hours of death,general_faq
LEAST common presentation of fibroid uterus is?,Infeility,general_faq
All of the following is given for the treatment for Pityriasis versicoler Except:,Ketoconazole,nutrition_advice
Which of the following anti–arrythmic drug decreases the action potential duration in purkinje fibers ?,Quinidine,medicine_info
Symmetrical persistent enlargement of the parotid gland is seen in:,Sjogren syndrome.,general_faq
All of the following drugs are indicated in the treatment of bipolar disorder except?,Carbamazepine,medicine_info
Fear is,A primary emotion acquires soon after birth,general_faq
Cultivable (in vitro) hepatitis virus is?,Hepatitis A,general_faq
In all of the following diseases chronic carriers are found except:,Measles,general_faq
Most common cause of hydronephrosis is children,PUJ obstruction,general_faq
The following are direct signs of Lung collapse seen on the Chest X-ray except:,Mediastinal shift,general_faq
"A patient presents with melaena normal renal function, hypeension and mononeuritis multiplex. The most probable diagnosis is:",Classical polyaeritis nodosa,general_faq
A wave in JVP is due to -,Atrial systole,general_faq
Area falling under 2 S.D. curve would be around -,66%,general_faq
Hypoxic pulmonary vasoconstriction due to,Irreversible pulmonary vasocontriction hypoxia,general_faq
Drug of choice for Zollinger Ellison syndrome:,Proton pump inhibitor,medicine_info
A 24 year old construction worker presents to his physician after an injury on the job. Physical examination is remarkable for marked flexion of the ring and little fingers of the left hand. Which of the following additional findings would most likely be found on physical examination?,Loss of sensation on the back of the thumb,general_faq
Which of the following fat soluble vitamin has been  identified to function as a coenzyme?,Vitamin A,nutrition_advice
Chassar Moir surgery is done is case of:,Uterine inversion,treatment_procedure
Not associated with coal tar,Bladder cancer,general_faq
What is the most probable cause of large head in this child?,Osteogenesis imperfecta,general_faq
"A 20 year old man presented with abdominal pain, vomiting and bloody diarrhea, his stool sample grew Escherichia coli in pure culture. Which of the following serotype of E.coli is the causative agent of hemorrhagic colitis?",O 157:H7,symptoms_diagnosis
Which year MTP act was passed -,1971,general_faq
Which of the following tumours present with proptosis-,Neuroblastoma,general_faq
Receptors of LDL is/are -,B 100,general_faq
Influenza belongs to,Ohomyxoviridae,general_faq
Fish acts as intermediate host in -a) D. latumb) Clonorchis sinensisc) H. Diminutad) H. Nana,ac,general_faq
Lilliputian hallucinations are seen in,Alcohol withdrawal,general_faq
Gas most suited for laproscopy is -,Air,general_faq
Dolicocephalic facial pattern is associated with:,Broad dental arch,general_faq
Commonest position of appendix is?,Paracaecal,general_faq
In Allergic rhinitis nasal mucosa is:,Pale and swollen,general_faq
All are true of cerebral salt wasting except -,Increased urine output,general_faq
Non - bias study is -,Case control study,general_faq
Fracture mandible occurs most common in ?,Body,general_faq
"When planning home care for a client with hepatitis A, which preventive measure should be emphasized to protect the client’s family?",Keeping the client in complete isolation,general_faq
Healthy carriers are present in all except ?,Typhoid,general_faq
During epidural analgesia the following points suggests that needle is in the extradural space,Loss of resistance sign,general_faq
Which of the following is not a characteristic of Fanconi anaemia -,Hematologic abnormalities in infancy,general_faq
An ankle-brachial index (ABI) that suggests increased risk of myocardial infarction would be,<0.9,general_faq
EBV Causes:,Ca cervix,general_faq
Which of the following local anaesthetic causes methemoglobinemia?,Procaine,general_faq
"TRUE about infant airway compared to adult airway are all, EXCEPT:",The relatively large size of the tongue,general_faq
In which of the following condition there is increased level of ammonia in blood?,Ornithine transcarbamoylase deficiency,general_faq
The mechanism of action of emergency contraception includes the following except:,By Causing early ovulation,general_faq
"All the following statements art true for the viral genome in HIV, Except",They are diploid,general_faq
True about mitochondrial inheritance,An offspring bom to an affected male will be affected,general_faq
HCV virus is ?,Enveloped DNA,general_faq
Ca 125 is used for ?-,Follow up of ovarian cancer,general_faq
With increase in age which of the following is true for lungs,Pulmonary compliance increases,general_faq
Which of the following is best type of inquest at the international level?,Coroner's inquest,general_faq
T/t of alcohol withdrawal -,B-blocker,general_faq
Wiggly appearance of the master cone in the root canal suggests:,Long cone in the canal,general_faq
"A neonate within 4 hours of bih presented with severe respiratory distress. He appears to be dyspneic, tachypneic, and cyanotic with severe retractions of the chest. On examination, grunting is present along with use of the accessory muscles. Neonate also appears to have scaphoid abdomen and increased chest wall diameter. There is evidence of shift of the point of maximal cardiac impulse from its original location to the right side. Chest x ray of the neonate Defect in development of which pa of the responsible structure is causing this condition of the baby?",PA C,general_faq
"A boy comes with complains of vomiting, bloated abdomen and abdominal pain. He has a history of attending ice–cream eating competition last night. Ile also has a past history of similar episodes following ingestion of milk and milk products. The likely cause –",Pancreatic amylase deficiency,nutrition_advice
True about aplastic anemia -a) Splenomegalyb) Nucleated RBC in peripheral bloodc) Reticulocytopeniad) Thrombocytopeniae) Neutropenia,abd,nutrition_advice
"In leptospirosis, the following clinical features are seen except-",Jaundice which may be intense,nutrition_advice
The minimum period required for post-exposure chemoprophylaxis for HIV is:,4 weeks,general_faq
Where was the atraumatic restorative treatment first introduced?,Tanzania,nutrition_advice
Howell jolly bodies are seen in?,Iron deficiency anemia,general_faq
Secular trend is,Long term,general_faq
A 65 year male has a history of sweating and chest pain for last 24 hours with the following ECG. Which of the following is not given in managing the patient?,Aspirin,nutrition_advice
During autopsy for virology study which agent is used for storing tissue -,Sodium chloride,general_faq
Anesthetic agent/s which have tocolytic effect are?,Halothane,general_faq
Helper T-cells are primarily involved in -,Cell mediated immunity,general_faq
Ideal contraceptive for a couple living in different cities meeting only occasionally:,Barrier method,general_faq
Depressed of skull results from:,Heavy object with small striking surface,general_faq
The arachnoid villi responsible for cerebrospinal fluid absorption protrude mainly in the:,Superior sagittal sinus,general_faq
Which of the following is most often involved in Multiple Endocrine Neoplasia 1 (MEN 1):,Pituitary,general_faq
Carpal bone which fractures commonly:,Scaphoid,general_faq
Spuriously high BP is seen in A/E:,Auscultatory gap,general_faq
Depression patients in developing countries most prominently show which of the following feature?,Low mood,nutrition_advice
Best blood product to be given in a patient of multiple clotting factor deficiency with active bleeding,Fresh frozen plasma,general_faq
An example of tumor suppressor gene is,Myc,general_faq
The extent of bony defects can be best estimated by,Long cone parallel radiographic technique,general_faq
All of the following are associated with proximal muscle weakness except -,Spinomuscular atrophy,general_faq
"In status asthmaticus, anesthetic agent used as bronchodilator:-",Morphine,general_faq
"In actinomycosis of the spine, the abscess usually erodes:",Intervertebral disc,general_faq
Neurotic depression may be characterised by all except -a) Ravenous appetiteb) Hypersomniac) Increased libidod) Weight gain,ac,general_faq
This type of lesion in HIV patient is caused most likely by which of the following?,Bacteria,general_faq
Test of detecting damage to cochlea is,Caloric test,general_faq
Which of the following drug is used in this test?,Tolazoline,medicine_info
Which of the following finger is having two dorsal interossei muscles:,Index finger,general_faq
"In achalasia cardia, true is:",Pressure at distal end increased with no peristalsis,general_faq
Trastuzumab all are true EXCEPT:,Shows better response in combination with paclitaxel,general_faq
"With regard to surgical site infection, what is it called if bacteria are dividing and have invaded wound surface",Contamination,general_faq
Concept of lingual orthodontic appliance was introduced by,Atkinson,general_faq
Balanced stone is dental stone:,Which undergoes rapid expansion,general_faq
Accurate diagnosis of anencephaly in ultrasound is seen at week :,6 weeks of gestation,general_faq
True about Pityriasis rosea is –,Self limiting,general_faq
What is the normal net weight gain during pregnancy?,11 Pounds,general_faq
Shotgun does not contain :,Barrel,general_faq
OCP failure by rifampicin is due to -,Decreased absorption of OCP,general_faq
Propranolol is useful in the treatment of all of the following EXCEPT:,Angina,nutrition_advice
Which of the following is used to represent continuous (quantitative) data -,Bar diagram,general_faq
"Retraining approach in a pediatric patient, all are true, Except:",Discrimination,general_faq
Granulomatous reactions caused by ova or products of schistosomes at places of oviposition would result in clinical manifestations which includes all except:-,Bladder wall hyperplasia,general_faq
The function of vitamin A is/are related to which of the following?,Retinol,nutrition_advice
False about actinomycetes.,Non-acid fast,general_faq
A 32 year old carpenter presented to you with history of recurrent attacks of chest pain . You prescribe him sublingual nitroglycerin  and advise him to take it at the time of pain. The patient revisits the hospital again after 2weeks and tells that the intensity of chest pain has increased on taking nitroglycerin.  The patient is most likely suffering from,Aortic regurgitation,symptoms_diagnosis
Erythropoietin production is inhibited by -,Estrogen,general_faq
Equatorial diameter of the lens is,7mm,general_faq
The persistent suppression of bacterial growth that may occur after limited exposure to some antimicrobial drug is called :,Time dependent killing,medicine_info
A 7 years old girl with falling grades and complaints by teacher that she is inattentive in class to her parents and has bad school performance. On hyperventilation her symptoms increased and showed the following EEG findings. Diagnosis is (graph is given):,Myoclonic epilepsy,symptoms_diagnosis
Anesthesia of choice in child with cyanotic hea disease?,Propofol,general_faq
"Hippocampal formation includes all, except?",Dentate gyrus,general_faq
Which is the commonest childhood tumor –,ALL,general_faq
Residual volume is the volume of air in lung after-,Maximal inspiration,general_faq
Color of kit 3 for STD under AIDS control programme?,Red,general_faq
Average weight of thyroid gland where diet is rich in Iodine is -,10-12gm,nutrition_advice
"All the following metabolic may cause chronic or recurrent abdominal pain, except -",Acute intermittent prophyria,symptoms_diagnosis
What is cognizable offence ?,Offence that can be forgiven,general_faq
The lung pathology occurring in persons working in cotton- wool industries is,Asthma like features,general_faq
Pendred&;s Syndrome is due to defect in:,Chromosome 7p,general_faq
"Apgar scores were 3, and 6 at 1 and 5 minutes. At 10 Apgar scores were 3, and 6 at 1 and 5 minutes. At 10 minutes child shows features of breathlessness,on CXR-mediastinal shift was there, possible causes – 
a) Bilateral choanal atresiab) Pneumothoraxc) Congenital diaphragmatic herniad) Hyaline membrane disease",a,nutrition_advice
Ebstein anomaly is known teratogenic effect due to this drug:,Clozapine,medicine_info
Recent nobel prize for -,RNA i,general_faq
"If a fibrinolytic drug is used for the treatment of acute myocardial infarction, the adverse effect most likely to occur is:",Acute renal failure,medicine_info
Most impoant indicator of successful neonatal resuscitation:,Color change,general_faq
In an after coming head the following bone is perforated during decapitation:,Occiput,general_faq
Courvoiser's law exception,Double impaction,general_faq
Which drug is vassopressin V2 receptor selective agonist -,Lypressin,medicine_info
"About Vi polysaccharide vacine, true is:",Can be given in patients with yellow fever and hepatitis B,general_faq
Dental lamina cysts of new born are seen at:,The junction of hard and soft palate,general_faq
Anaerobic bacteria commonly found in cervix or vagina?,Lactobacilli,general_faq
Orally active hormone is:,TSH,general_faq
A 26 yrs old male with restriction of eye movements in all directions &moderate ptosis but with no diplopia or squint. Diagnosis is,Thyroid ophthaltnopathy,general_faq
All are markers of Mantle cell lymphoma except -,CD5,general_faq
Convulsions in a child with dehydration and vomiting can only be due to-,Decreased serum sodium,general_faq
Which among the following is highest risk factor for molar pregnancy,Prior C-section,general_faq
Which of the following is not a difference between Centric relation and Centric occlusion?,Centric relation is a bone to bone relationship. Centric occlusion is the relationship of upper and lower teeth to each other.,general_faq
Optimal front-line treatment of squamous cell carcinoma of the anal canal includes:,Abdominal perineal resection.,nutrition_advice
NOT a feature of Holt Oram Syndrome is,Absent Radius,nutrition_advice
Patient presents to casualty with sudden onset LMN facial palsy on right side and inability to abduct right eye. There is left sided hemiparesis. Whats your diagnosis?,Fovilles syndrome,general_faq
Burst EEG pattern is seen in?,Herpes simplex encephalitis,general_faq
The coronal pulp has,Two surfaces,general_faq
The most common site of osteoma is( REPEAT QUESTION),Maxillary sinus,nutrition_advice
Investigation of choice in cholestasis of pregnancy ?,Serum bilirubin levels,general_faq
Half-life of basiliximab is:-,7 days,general_faq
Poiseuille’s hagen lawis,F = (PA–PB) × 3.14 × r4/8nl,general_faq
"A patient presented with a 3.5-cm size lymph node enlargement, which was hard and present in the submandibular region. Examination of the head and neck did not yield any lesion. Which of the following investigations should follow?",Chest X-ray,general_faq
Hour glass deformity is seen in -,Carcinoma stomach,general_faq
Most common detion used in social medicine is-,Mean,medicine_info
Which of the following is an investigation of choice to diagnose gall stones?,X ray abdomen,symptoms_diagnosis
The Most common complication in varicose vein surgery is,Ecchymosis,treatment_procedure
Females with orgasmic difficulties are advised following exercises to strengthen pubococcygealmuscles-,Kegel's exercises,general_faq
"A 3 year old male presents with a skin rash and epistaxis. He has had several, severe sinopulmonary infections. A careful history reveals that his maternal uncle died of bleeding complications following an emergency cholecystectomy. What additional findings are likely in this case?",A CD4/CD8 ratio of < 1.5:1,general_faq
Age for regular mammography is,20,general_faq
The spine of the scapula can be palpated at which of the following level of veebrae?,T 1,general_faq
NAD acts as a cofactor for,Citrate synthetase,general_faq
Criteria for a pancreas donor include:,No history of diabetes,general_faq
Indication for intramuscular iron therapy is,Oral desforaxamine,treatment_procedure
Beta 2 selective agonist are often effective in,Angina due to cornary insufficiency,general_faq
Which of the following refers to the occurrence of hypehyroidism following administration of supplemental iodine to subjects with endemic iodine deficiency goiter?,Jod-Basedow effect,general_faq
Seoli cells play a key role in which of the following process,Spermiogenesis,general_faq
"According to WHO, crede's method is applied for prophylactic use in ophthalmia neonatorum, is",Silver nitrate solution,general_faq
A 6-week pregnant lady is diagnosed with sputum positive TB. Best management is -,Wait for 2nd trimester to start ATT,symptoms_diagnosis
Commonest cause of acute intestinal obstruction is:,Adhesions,general_faq
The criteria for validity of a screening test are -,Accuracy,general_faq
Aery supplying major pa of superolateral surface of brain is,Middle cerebral aery,general_faq
Double apical impulse is seen in?,HOCM,general_faq
Tocilizumab used against Rheumatoid arthritis is a monoclonal antibody against :,Interleukin-6,general_faq
One of the characteristic bedside features of Korsakoff's psychosis is-,Astereogenesis,nutrition_advice
Sequence which is responsible for retaining proteins in membrane,Translocon,general_faq
Most important amino-acid substrate for gluconeogenesis -,Leucine,general_faq
Investigation of choice in appendicitis in adults,CT Scan,general_faq
Lack of Leucocyte adhesion molecules (LAM) is associated with -,Delayed closure of umblical cord,general_faq
A 66 year old female is posted for subtotal gastrectomy for adenocarcinoma. The important procedure related complication:,Pneumothorax,treatment_procedure
Treatment of TOF ?,Modified BT shunt,nutrition_advice
All of the following are cause of blood in stools in children except -,Meckels diveiculum,general_faq
Seoli cells secrete ?,Testosterone,general_faq
The term 'psychoanalysis' is associated with: March 2009,John Broadus Watson,general_faq
All the following can occur in a neonate for heat production except –,Shivering,nutrition_advice
Muscle not included in Anterior compartment of thigh,lliacus,general_faq
Ziemann's dots in RBC are seen in infection with,Pl vivax,general_faq
Which of the following is not an example of Phase II drug metabolic reaction?,Acetylation,medicine_info
Which of the following is not true about tabes Dorsalis -,Seen in Neurosyphiilis,general_faq
Necrotising lymphadenitis is seen with,Kimura disease,general_faq
'Scalloping' of the edge of sigmoid colon on barium enema seen in:,Diveiculosis,general_faq
The cutoff point of serum estrogen level for the diagnosis of ovarian failure:,10 pg/ml,general_faq
Post term pregnancy is the pregnancy which continues beyond: September 2006,274 days,general_faq
A 45-year-old man is admitted to the hospital with breathing problems. During physical examination the patient shows signs of airway obstruction. A CT scan examination reveals a nasal polyp obstructing the airway. Drainage from which of the following structures is also obstructed?,Sphenoid sinus,nutrition_advice
Gene associated with autosomal dominant breast cancer?,PTEN and KAI,general_faq
A 35-year-old lady presents with vaginal discharge. Smears from vaginal discharge show presence of?,Trichomonas,general_faq
"A mother brings her 1 year old child to the hospital with complaints that he turns blue while breastfeeding. It resolves when he assumes a squatting position. On examination, a cleft palate is seen. Labs show hypocalcemia. Which of the following abnormalities are expected to be seen in the lymphoid organs?",Decreased size of periaeriolar lymphoid sheath of spleen,general_faq
Length of Posterior vaginal wall is,Variable,general_faq
Austin flint murmur is seen in cases of,Aortic stenosis,general_faq
HBV replication is indicated by -a) HBV DNAb) DNA polymerasec) HBeAgd) Anti-HBe,abc,general_faq
Pheochromocytoma is associated with -,Vitiligo,general_faq
Not a feature of brain death,Complete apnea,nutrition_advice
Squamous cell carcinoma on tongue most common site is,Apex,general_faq
False statement regarding adductor pollicis muscle:,Has 2 heads,general_faq
Testing for microdeletion of Y-chromosome is offered for which patient with a normal Karyotype,Sperm concentration of 2 million/ml,general_faq
True statement regarding insulin:,Produced by alpha cells of pancreas,general_faq
Internal carotid artery is derivative of,First pharyngeal arch,general_faq
Nipple shadows in chest xray characteristically have a sharp,Medial margin,general_faq
What changes the conformation of alpha helix in collagen,Methionine,general_faq
Disruption or disorganization of biological rhythm is observed in,Schizophrenia,general_faq
All of the following are features of musculocutaneous nerve injury at axilla except,Loss of flexion of shoulder,nutrition_advice
Material used in veebroplasty:,Polymethyl methacrylate,general_faq
Paramesonephric duct in males remains as,Prostatic utricle,general_faq
"Following injury to the right temple region, patient complaints of pain in the right eye and loss of vision. On examination the eye movements are normal, and pupil normally reacts to light. The diagnosis is",Functional loss of vision,symptoms_diagnosis
"Under EMCP  launched in 1997,the criteria for selection of PHCs included the following EXCEPT:",API more than 2 for the last 3 years,general_faq
All of the following statements about purification of water are true except :,Presence of Clostridial spores indicate recent contamination of water,general_faq
In rhinosporidiosis the following is true:,Fungal granuloma,general_faq
A 45-year-old woman is admitted to the emergency department with a complaint of severe abdominal pain. CT scan and MRI examinations reveal a tumor of the head of the pancreas involving the uncinate process. Which of the following vessels is most likely to be occluded?,Common hepatic artery,symptoms_diagnosis
"Among various glands, salivary gland secretion is unique in that, its secretions are controlled by",Hormones,general_faq
A 35-year-old man presents with following problem. Most likely diagnosis?,Cellulitis,general_faq
All of the following passthrough lesser sciatic foramen except:,Pudendal nerve,general_faq
Extrapyramidal side effects of antipsychotics -a) Dystoniab) Akathisiac) Seizuresd) Diarrheae) Parkinsonism,abc,general_faq
Hard exudates are seen in the following except,Hypeensive retinopathy,general_faq
A newborn child presents with inverted foot and the dorsum of the foot cannot touch the anterior tibia. The most probable diagnosis is:,Congenital vertical talus,general_faq
Increase in body temp during ovulation is by -,Estrogen,general_faq
Replacement of etonogestrel implant(Implanon) is normally done after how many years?,2 years,general_faq
True morbidity in a population can be calculated by,Sentinel Surveillance,general_faq
"A middle aged man came with fever 2 weeks. He also complains of occasional night sweats and has significant weight loss. BAL was done, in which MTB was not detected. Extra pulmonary TB is suspected. Which of the following sites is most likely affected?",Skeletal system,nutrition_advice
. A neonate is seen crying with eyes closed and moving all his limbs. What is the Neonatal Behavioral response scale -,Scale 1,general_faq
Ohobaric oxygen is used in,Carbon monoxide poisoning,general_faq
All are true about Exenatide except -,Decreases glucagon secretion,general_faq
Smallest diameter of pelvis is?,Interspinous diameter,general_faq
NSAIDS with least anti inflammatory' action -,Indomethacin,general_faq
H is helpful in all of the following except,Vaginal atrophy,general_faq
Direct fibrinolytics are/is:,R4prourokinase,general_faq
"A 2 day old newborn baby presented with microcephaly, macroglossia, visceromegaly and a blood glucose level of 20 mg/dl. What is the most likely diagnosis",Prader–Willi syndrome,general_faq
"Drug of choice for sedation of a patient in ICU is: September 2009, March 2013 (a)",Diazepam,medicine_info
Decreased number of melanocytes are seen in: March 2005,Pebaldism,general_faq
Dentist act was introduced on,27th March 1948,general_faq
A 40 year old patient is suffering from carotid body tumor. Which of the following is the best choice of treatment for him?,Excision of tumor,nutrition_advice
Branchial cyst arises due to-,Failure of obliteration of second branchial cleft,general_faq
Most common pulmonary manifestation of SLE:,Shrinking Lung,general_faq
Person having heterozygous sickle cell trait is protected from infection of:,P. falciparum,general_faq
Some micro organisms produce a diffuse spreading inflammatory reaction due to the elaboration of,Coagulase,general_faq
Johne's bacillus is:,Corynebacterium pseudotuberculosis,general_faq
A 30 year ols woman presented with secondary amenorrhoea for 3 years along with galactorrhea. The most likely cause of her symptoms would be -,Craniopharyngioma,symptoms_diagnosis
Hypercalcemia is caused by all except:,Thyrotoxicosis,general_faq
"All of the following are true regarding chronic active hepatitis, except:",Common in females,general_faq
HLA is present on -,Sho term of chromosomes 3,general_faq
Hemochromatosis affect the following organs,Heart,general_faq
SSRI is first-line treatment for,OCD,nutrition_advice
The most common site of primary osteoarthrosis is -,Hip joint,general_faq
Anemia of chronic renal failure -a) Normocytic normochromic anaemiab) Erythropoietin improves the symptomsc) Dialysis causes severe anemiad) Anemia is proportional to the kidney disease,acd,symptoms_diagnosis
The classical example of muscular violence is,of fibula,general_faq
